C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.16,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,425.0,60.0,992.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.21,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,350.0,60.0,1048.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.21,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,375.0,60.0,1013.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.21,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,400.0,60.0,1007.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.21,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,425.0,60.0,983.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.26,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,350.0,60.0,1009.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.26,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,375.0,60.0,1005.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.26,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,400.0,60.0,991.0
3.61,2.55,0.014,0.028,0.0042,0.162,0.022,0.211,0.002,0.012,0.00063,0.26,0.0,0.0,172.64161204481795,10.4582,88.76,80.55599999999997,18.163999999999998,834.66,3.0595999999999974,19.220000000000017,925.0,60.0,425.0,60.0,958.0
3.39,2.62,0.01,0.042,0.046,0.29,0.72,0.51,0.0,0.0,0.0,0.0,0.0,0.0,315.81952717226795,10.4485,90.4,81.6,18.4,656.0,3.2,14.33,930.0,60.0,380.0,120.0,1080.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,850.0,30.0,300.0,120.0,1196.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,900.0,30.0,300.0,120.0,1535.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,950.0,30.0,300.0,120.0,1166.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,850.0,30.0,350.0,120.0,979.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,900.0,30.0,350.0,120.0,1303.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,950.0,30.0,350.0,120.0,964.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,850.0,30.0,400.0,120.0,911.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,900.0,30.0,400.0,120.0,712.0
3.5,2.8,0.02,0.02,0.04,0.3,1.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,290.0,8.494300000000003,90.12800000000001,78.53999999999989,19.95,533.2990000000001,7.423000000000001,75.0,950.0,30.0,400.0,120.0,749.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,300.0,60.0,1420.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,350.0,60.0,1160.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,400.0,60.0,980.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,300.0,120.0,1420.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,350.0,120.0,1110.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,400.0,120.0,990.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,300.0,180.0,1440.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,350.0,180.0,1100.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,400.0,180.0,1000.0
