C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.5,2.6,0.005,0.027,0.045,0.25,0.0,0.96,0.21,0.29820000000000046,1.6963499999999994,0.002524,0.0,0.009590000000000007,290.68621027237174,10.67,80.34,100.0,10.15,649.0,4.0,25.0,900.0,180.0,355.0,30.0,1063.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,30.0,878.0
3.42,2.73,0.006,0.027,0.045,0.25,0.0,0.98,0.2,0.29820000000000046,1.6961799999999994,0.002455,0.0,0.009560000000000008,319.66,12.44,80.383,100.0,10.38,567.2271571428566,7.5922999999999945,25.0,845.0,180.0,370.0,15.0,905.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,120.0,1208.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,120.0,1299.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,120.0,1078.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,75.0,1429.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,75.0,1532.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,275.0,75.0,1455.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,60.0,922.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,60.0,1013.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,60.0,987.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,30.0,1117.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,30.0,1052.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,30.0,1130.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,10.0,1169.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,10.0,1182.0
3.72,2.59,0.007,0.036,0.065,0.25,0.01,0.8,0.0,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,900.0,60.0,350.0,10.0,1143.0
3.6,2.24,0.02,0.05,0.06,0.25,0.52,0.9,0.15,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,850.0,120.0,350.0,40.0,1125.0
3.6,2.24,0.02,0.05,0.06,0.25,0.52,0.9,0.15,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,850.0,120.0,340.0,40.0,1241.0
3.6,2.24,0.02,0.05,0.06,0.25,0.52,0.9,0.15,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,850.0,120.0,300.0,40.0,1431.0
3.6,2.24,0.02,0.05,0.06,0.25,0.52,0.9,0.15,0.12224999999999994,0.31867,0.00832200000000001,0.034800000000000025,0.010250000000000007,116.46166666666667,10.695,80.302,94.376,10.66,730.98,4.377799999999997,8.0,850.0,120.0,300.0,40.0,1498.0
3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,316.0,120.0,1415.0
3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,871.0,60.0,371.0,40.0,1084.0
3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,871.0,60.0,316.0,40.0,1395.0
3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,30.0,1126.0
