C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_C
3.57,2.51,0.012,0.031,0.042,0.2,0.0,0.64,0.0,0.019090000000000006,0.016759999999999994,0.007116000000000006,0.0,0.009060000000000007,71.0,12.08,82.5,94.016,10.16,733.0,7.3,16.0,900.0,90.0,300.0,180.0,100.6
3.51,2.3,0.008,0.02,0.04,0.23,0.0,0.62,0.0,0.010960000000000003,0.014349999999999984,0.007701000000000006,0.0,0.0026500000000000013,88.0,11.99,90.0,91.27600000000001,10.11,750.0,6.48,16.0,900.0,90.0,300.0,180.0,102.0
3.55,2.68,0.02,0.038,0.033,0.34,0.0,0.62,0.0,0.004260000000000002,0.0,0.0,0.0,0.0,88.0,12.1103,92.5,90.367,10.01,697.0,10.0,16.0,900.0,90.0,300.0,180.0,90.8
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,860.0,90.0,380.0,5.0,81.0
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,860.0,90.0,380.0,30.0,142.0
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,860.0,90.0,380.0,60.0,148.0
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,860.0,90.0,380.0,120.0,135.0
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,890.0,90.0,380.0,5.0,39.0
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,890.0,90.0,380.0,30.0,79.0
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,890.0,90.0,380.0,60.0,134.0
