C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_C
3.07,2.15,0.01,0.027,0.045,0.26,1.5,1.6,0.0,0.04,0.0,0.0,0.0,0.0,100.0,12.68,90.19200000000001,100.0,0.0,592.4884357142856,8.624600000000001,26.52,900.0,120.0,350.0,240.0,102.0
3.07,2.15,0.01,0.027,0.045,0.26,1.5,1.6,0.0,0.04,0.0,0.0,0.0,0.0,100.0,12.68,90.19200000000001,100.0,0.0,592.4884357142856,8.624600000000001,26.52,900.0,120.0,350.0,360.0,50.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,30.0,13.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,60.0,16.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,90.0,20.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,120.0,24.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,30.0,13.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,60.0,15.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,90.0,18.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,120.0,20.0
